GOLDENSON,Engineering,B,0.28,0.68,0.3,20.22,"2021
"
GP,Telecommunication,A,27.5,25.23,27.48,38.59,"2020
"
GPHISPAT,Engineering,A,7.37,4.34,4.18,29.86,"2021
"
GRAMEENS2,Mutual Funds,A,1.3,1.74,1.21,20.82,"2021
"
GREENDELMF,Mutual Funds,A,1.2,0.64,2.13,11.69,"2021
"
GREENDELT,Insurance,A,9.47,8.43,7.34,68.95,"2020
"
GSPFINANCE,Financial Institutions,A,2.49,1.69,1.55,21.9,"2020
"
HRTEX,Textile,A,1.0,2.18,1.11,42.78,"2020
"
HWAWELLTEX,Textile,A,2.0,3.48,3.01,31.56,"2021
"
IBNSINA,Pharmaceuticals & Chemicals,A,4.7,21.03,15.69,68.69,"2021
"
IBP,Pharmaceuticals & Chemicals,B,0.81,1.02,1.4,13.61,"2020
"
ICB,Financial Institutions,A,1.1,3.48,1.43,54.98,"2021
"
ICB3RDNRB,Mutual Funds,A,0.7,0.63,0.53,9.22,"2021
"
ICBAGRANI1,Mutual Funds,A,0.7,1.02,0.68,11.01,"2021
"
ICBAMCL2ND,Mutual Funds,A,0.8,1.05,0.37,10.33,"2021
"
ICBEPMF1S1,Mutual Funds,A,0.6,0.76,0.41,9.4,"2021
"
ICBSONALI1,Mutual Funds,A,0.7,0.98,0.53,10.39,"2021
"
IDLC,Financial Institutions,A,4.31,5.34,6.74,40.41,"2020
"
IFADAUTOS,Engineering,A,1.1,1.94,2.18,40.81,"2021
"
IFIC,Bank,A,0.83,1.68,0.7,17.18,"2020
"
IFIC1STMF,Mutual Funds,A,0.75,1.55,2.36,11.48,"2021
"
IFILISLMF1,Mutual Funds,A,0.4,0.48,0.31,9.5,"2021
"
INDEXAGRO,Miscellaneous,A,2.5,5.26,5.63,58.27,"2021
"
INTECH,IT Sector,B,0.1,0.26,0.15,10.7,"2020
"
INTRACO,Fuel & Power,A,1.58,1.34,0.55,12.28,"2020
"
IPDC,Financial Institutions,A,1.2,2.27,1.9,16.34,"2020
"
ISLAMIBANK,Bank,A,1.0,3.56,2.98,38.89,"2020
"
ISLAMICFIN,Financial Institutions,A,1.0,1.19,1.54,14.99,"2020
"
ISLAMIINS,Insurance,A,5.88,2.57,2.18,15.89,"2020
"
ITC,IT Sector,B,0.5,1.67,1.53,16.48,"2021
"
JAMUNABANK,Bank,A,1.75,5.19,3.55,32.06,"2020
"
JAMUNAOIL,Fuel & Power,A,12.0,16.86,18.13,161.4,"2020
"
JANATAINS,Insurance,A,2.75,1.65,1.26,14.45,"2020
"
JMISMDL,Pharmaceuticals & Chemicals,A,3.0,5.8,4.03,122.7,"2021
"
KARNAPHULI,Insurance,A,1.0,2.21,1.59,18.82,"2020
"
KAY&QUE,Engineering,B,0.4,0.44,0.44,76.79,"2020
"
KDSALTD,Engineering,A,1.5,2.36,2.2,24.75,"2021
"
KEYACOSMET,Pharmaceuticals & Chemicals,B,0.1,0.24,0.21,0.23,"2020
"
KOHINOOR,Pharmaceuticals & Chemicals,A,67.28,10.72,10.52,55.58,"2021
"
KTL,Textile,A,1.0,1.88,0.52,16.71,"2021
"
LANKABAFIN,Financial Institutions,A,1.2,2.23,1.81,18.73,"2020
"
LEGACYFOOT,Tannery Industries,B,0.1,0.22,0.4,10.83,"2021
"
LHBL,Cement,A,1.0,3.34,2.03,14.89,"2020
"
LIBRAINFU,Pharmaceuticals & Chemicals,A,0.5,1.05,1.05,1269.0,"2019
"
LINDEBD,Fuel & Power,A,40.0,82.83,70.55,355.71,"2020
"
LOVELLO,Food & Allied,A,1.1,1.1,1.41,12.57,"2021
"
LRBDL,Fuel & Power,A,1.0,2.12,3.41,36.45,"2021
"
LRGLOBMF1,Mutual Funds,A,1.51,0.45,1.74,13.47,"2021
"
MALEKSPIN,Textile,A,1.0,3.84,3.36,46.27,"2021
"
MARICO,Pharmaceuticals & Chemicals,A,90.0,120.12,98.68,51.95,"2021
"
MATINSPINN,Textile,A,4.0,11.09,6.31,53.84,"2021
"
MBL1STMF,Mutual Funds,A,1.15,0.63,1.95,11.89,"2021
"
MEGHNACEM,Cement,A,4.31,1.92,2.73,70.14,"2021
"
MERCANBANK,Bank,A,1.87,4.51,2.26,22.61,"2020
"
MERCINS,Insurance,A,1.0,1.5,1.69,19.05,"2020
"
METROSPIN,Textile,B,0.2,1.7,0.08,14.53,"2020
"
MHSML,Textile,B,0.3,1.94,0.52,18.16,"2021
"
MICEMENT,Cement,A,2.0,1.5,5.8,52.69,"2021
"
MIRAKHTER,Engineering,A,1.25,3.11,4.23,50.86,"2021
"
MJLBD,Fuel & Power,A,5.5,6.69,7.48,39.69,"2021
"
MLDYEING,Textile,A,1.0,0.7,0.62,15.75,"2021
"
MONNOAGML,Engineering,A,1.0,1.7,1.55,13.62,"2021
"
MONNOCERA,Ceramics Sector,A,1.0,1.28,0.9,57.37,"2021
"
MONOSPOOL,Paper & Printing,A,1.0,2.28,1.23,40.43,"2021
"
MPETROLEUM,Fuel & Power,A,15.0,25.47,28.45,148.21,"2020
"
MTB,Bank,A,1.9,1.6,1.31,23.03,"2020
"
NAHEEACP,Engineering,A,1.0,2.24,2.15,17.38,"2021
"
NAVANACNG,Engineering,A,2.03,0.22,0.22,35.28,"2021
"
NBL,Bank,B,0.38,0.59,1.18,16.92,"2020
"
NCCBANK,Bank,A,1.91,2.74,2.38,22.15,"2020
"
NCCBLMF1,Mutual Funds,A,0.72,1.4,1.12,11.81,"2020
"
NEWLINE,Textile,A,2.74,2.19,1.14,23.83,"2020
"
NHFIL,Financial Institutions,A,1.5,2.81,2.75,17.91,"2020
"
NITOLINS,Insurance,A,1.0,2.73,2.84,27.23,"2020
"
NORTHRNINS,Insurance,A,1.0,1.86,1.75,20.24,"2020
"
NPOLYMER,Engineering,A,1.0,2.54,2.82,30.49,"2021
"
NRBCBANK,Bank,A,2.01,2.96,1.96,14.0,"2020
"
OLYMPIC,Food & Allied,A,5.4,7.22,10.19,46.21,"2021
"
ONEBANKLTD,Bank,A,1.32,2.92,1.57,19.31,"2020
"
ORIONINFU,Pharmaceuticals & Chemicals,A,1.0,1.96,1.37,13.1,"2021
"
ORIONPHARM,Pharmaceuticals & Chemicals,A,1.2,4.04,4.01,79.76,"2021
"
PADMAOIL,Fuel & Power,A,12.5,23.34,27.8,157.64,"2020
"
PAPERPROC,Paper & Printing,A,1.0,4.24,1.34,27.97,"2021
"
PARAMOUNT,Insurance,A,14.14,4.11,5.38,26.62,"2020
"
PDL,Textile,B,1.18,0.46,0.54,14.65,"2020
"
PENINSULA,Travel & Leisure,A,1.0,1.28,0.41,30.28,"2021
"
PEOPLESINS,Insurance,A,1.1,2.71,2.26,28.6,"2020
"
PF1STMF,Mutual Funds,A,0.6,0.72,0.32,9.68,"2021
"
PHARMAID,Pharmaceuticals & Chemicals,A,5.0,21.38,16.11,93.26,"2021
"
PHENIXINS,Insurance,A,1.5,2.75,2.33,39.1,"2020
"
PHOENIXFIN,Financial Institutions,A,2.92,0.97,1.36,22.01,"2020
"
PHPMF1,Mutual Funds,A,0.85,0.8,2.04,11.85,"2021
"
PIONEERINS,Insurance,A,12.69,8.04,7.7,49.75,"2020
"
POPULAR1MF,Mutual Funds,A,0.85,0.94,2.12,11.85,"2021
"
POWERGRID,Fuel & Power,A,2.0,5.5,4.45,110.39,"2020
"
