2668.4,2835.0,2668.4,2668.4,2808.8,-140.4,1688,49.781,18397
38.6,38.7,38.4,38.6,38.5,0.1,141,7.055,183043
7.5,7.8,7.5,7.6,7.5,0.0,38,0.499,65799
6.2,6.3,6.2,6.2,6.2,0.0,83,1.964,316559
51.0,52.0,50.9,51.0,50.9,0.1,106,2.545,49418
58.1,61.0,57.5,58.1,57.8,0.3,1138,73.5,1245610
33.3,33.5,33.2,33.3,33.2,0.1,243,4.961,148720
38.6,38.9,37.8,38.6,37.6,1.0,419,8.341,216472
48.4,49.6,47.9,48.9,49.6,-1.2,39,0.961,19516
42.8,43.4,42.7,42.8,43.0,-0.2,516,12.229,284407
37.1,38.3,36.7,37.1,38.0,-0.9,409,18.717,499131
6.4,6.5,6.4,6.4,6.5,-0.1,86,3.562,550216
12.9,13.0,12.7,12.9,12.8,0.1,174,15.718,1224282
5.5,5.5,5.4,5.5,5.4,0.1,80,3.342,613069
34.7,35.0,34.5,34.7,34.7,0.0,254,4.418,127381
17.4,17.9,17.3,17.4,17.5,-0.1,324,14.243,810010
12.8,13.0,12.7,12.8,12.8,0.0,672,24.648,1919626
124.6,130.1,122.0,124.6,130.3,-5.7,3773,413.165,3295716
18.7,19.7,18.6,18.7,19.3,-0.6,1184,40.678,2120868
37.0,37.4,36.0,37.0,36.1,0.9,689,39.228,1069405
351.3,359.0,336.2,351.3,339.4,11.9,1302,51.889,149330
151.0,153.8,149.7,151.0,152.3,-1.3,933,48.639,321006
49.8,50.5,49.1,49.8,49.3,0.5,341,9.81,197145
22.2,22.2,19.9,22.2,20.2,2.0,1528,148.327,6806524
357.3,360.0,356.0,357.3,359.0,-1.7,442,39.45,110033
59.9,62.3,59.5,59.9,61.5,-1.6,3755,344.704,5675213
16.3,16.5,16.1,16.3,16.2,0.1,59,3.18,194200
7.7,7.8,7.5,7.8,7.6,0.1,56,1.431,185124
97.7,100.8,97.2,97.7,97.2,0.5,430,14.858,151389
28.7,29.1,28.5,28.7,28.8,-0.1,1580,173.924,6035495
58.9,61.2,58.5,58.9,60.3,-1.4,535,18.847,316277
45.2,45.6,45.1,45.1,46.3,-1.1,26,1.44,31911
290.0,291.0,287.0,290.0,289.6,0.4,305,16.721,57678
19.4,19.8,19.3,19.4,19.6,-0.2,564,17.639,901844
127.6,130.0,126.0,126.9,128.5,-0.9,339,12.779,100252
7.2,7.2,7.0,7.1,7.2,0.0,31,4.583,645560
8.9,9.1,8.9,9.0,9.2,-0.3,21,0.365,40800
9.0,9.1,9.0,9.0,8.8,0.2,38,0.932,103468
7.7,7.7,7.6,7.7,7.8,-0.1,38,1.018,132261
8.1,8.3,8.1,8.1,8.0,0.1,3,0.041,5002
61.0,61.5,60.8,61.0,61.0,0.0,246,11.446,187719
50.2,51.5,50.0,50.2,50.5,-0.3,580,16.766,331314
17.5,17.8,17.4,17.5,17.6,-0.1,1308,83.367,4746485
5.6,5.7,5.6,5.6,5.7,-0.1,58,2.149,383216
6.8,7.0,6.8,6.8,7.0,-0.2,24,0.269,39327
127.2,129.8,124.1,127.2,126.2,1.0,951,82.16,650693
29.1,30.0,29.0,29.1,28.5,0.6,144,2.995,102392
21.6,22.7,21.2,21.6,21.4,0.2,900,41.726,1894562
38.9,39.7,38.8,38.9,39.1,-0.2,241,8.552,219481
32.1,32.4,32.0,32.2,32.0,0.1,162,11.73,365912
26.5,26.7,26.3,26.5,26.4,0.1,315,11.495,435074
62.2,63.3,61.9,62.2,62.4,-0.2,405,12.543,200584
34.9,35.8,33.9,34.5,34.2,0.7,160,2.973,86908
23.6,23.7,23.3,23.6,23.4,0.2,97,2.713,115551
183.0,187.7,180.6,183.0,182.8,0.2,647,58.456,320412
44.8,45.3,44.0,44.8,44.9,-0.1,195,6.065,135644
343.5,350.9,341.8,342.3,348.3,-4.8,273,4.489,13009
40.4,41.2,40.2,40.4,40.5,-0.1,278,8.363,206294
281.6,292.9,278.6,281.6,284.7,-3.1,135,4.351,15409
65.2,67.7,64.9,65.2,66.4,-1.2,1298,50.362,762903
7.7,7.7,7.0,7.7,7.0,0.7,2598,104.063,13830132
401.9,408.5,401.3,401.9,407.4,-5.5,113,1.632,4052
33.9,35.0,33.1,33.9,35.2,-1.3,486,27.933,819829
38.7,39.3,38.6,38.7,38.9,-0.2,860,76.259,1959576
67.0,68.4,66.7,67.0,67.9,-0.9,239,5.717,84848
77.0,79.0,76.8,77.0,78.9,-1.9,3471,217.844,2811075
1062.1,1108.3,1050.0,1062.1,1087.5,-25.4,661,14.768,13785
1864.4,1878.0,1775.0,1864.4,1768.8,95.6,3281,251.094,137330
45.8,47.0,45.2,45.8,45.4,0.4,2036,81.309,1768093
42.0,42.3,40.9,42.0,40.8,1.2,627,24.115,577214
7.0,7.1,6.9,7.0,7.0,0.0,106,6.979,997168
29.5,30.7,29.2,29.5,30.6,-1.1,858,38.0,1271049
2346.8,2348.2,2321.6,2346.8,2339.2,7.6,110,22.536,9651
65.4,68.9,65.0,65.4,67.4,-2.0,745,44.04,665582
8.1,8.1,8.0,8.1,8.0,0.1,44,1.634,202953
78.0,83.0,77.1,78.0,77.1,0.9,75,1.629,20795
17.4,17.5,17.3,17.4,17.4,0.0,390,18.961,1089225
49.4,49.7,47.4,48.7,48.0,1.4,79,3.222,65906
27.0,28.3,26.8,27.0,27.8,-0.8,932,40.378,1477347
32.0,32.4,31.2,32.0,30.8,1.2,1022,56.982,1803879
67.5,67.9,67.0,67.2,67.2,0.3,64,1.296,19313
63.8,65.5,63.5,63.8,64.0,-0.2,700,24.53,382111
93.8,95.5,93.8,94.1,94.6,-0.8,370,16.884,178822
24.5,25.0,24.2,24.5,24.1,0.4,657,21.632,879460
588.3,600.0,587.5,588.3,592.8,-4.5,326,5.888,9958
116.7,118.8,116.1,116.7,117.3,-0.6,563,12.868,109705
