BSC,130.60,Miscellaneous,A,1.2,16.55,4.72,60.28,2021
BSCCL,210.90,Telecommunication,A,3.7,12.56,11.57,52.49,2021
BSRMLTD,106.10,Engineering,A,5.0,16.22,16.66,127.56,2021
BSRMSTEEL,76.30,Engineering,A,4.0,10.69,8.1,62.38,2021
BXPHARMA,190.90,Pharmaceuticals & Chemicals,A,3.5,14.24,11.49,83.01,2021
BXSYNTH,-,Pharmaceuticals & Chemicals,Z,-,-, n/a ,-2.78,2021
CAPMBDBLMF,9.90,Mutual Funds,A,1.3,0.84,2.41,11.81,2021
CAPMIBBLMF,14.60,Mutual Funds,A,1.35,0.74,1.89,11.97,2021
CENTRALINS,49.60,Insurance,A,4.32,2.68,2.18,25.02,2020
CENTRALPHL,15.40,Pharmaceuticals & Chemicals,B,-,-, n/a ,6.53,2021
CITYBANK,26.90,Bank,A,3.09,3.96,4.29,29.03,2020
CITYGENINS,38.20,Insurance,A,1.0,1.71,1.77,16.88,2020
CNATEX,9.20,Textile,Z,0.92,0.72,1.14,16.74,2016
CONFIDCEM,119.80,Cement,A,2.5,11.54,15.87,74.26,2021
CONTININS,45.00,Insurance,A,2.4,2.27,1.29,19.84,2020
COPPERTECH,40.90,Engineering,B,0.25,1.64,0.35,11.24,2020
CRYSTALINS,50.10,Insurance,A,1.0,2.45,4.58,20.98,2020
CVOPRL,215.30,Fuel & Power,A,21.53,-, n/a ,11.55,2021
DACCADYE,21.20,Textile,B,0.1,1.46,0.13,8.36,2020
DAFODILCOM,63.20,IT Sector,B,0.6,0.72,0.7,13.42,2021
DBH,76.70,Financial Institutions,A,13.01,6.14,5.81,41.72,2020
DBH1STMF,7.60,Mutual Funds,A,1.2,0.13,2.13,11.79,2021
DELTALIFE,158.30,Insurance,A,2.6,-,-,-,2018
DELTASPINN,9.80,Textile,B,0.98,-,0.29,14.41,2017
DESCO,39.70,Fuel & Power,A,1.0,1.02,1.15,46.76,2020
DESHBANDHU,22.10,Engineering,B,0.5,0.66,0.2,18.07,2021
DGIC,37.00,Insurance,A,1.0,1.32,0.91,7.16,2020
DHAKABANK,14.30,Bank,A,1.46,2.2,2.22,21.69,2020
DHAKAINS,66.60,Insurance,A,2.0,3.31,2.89,31.61,2020
DOMINAGE,23.60,Engineering,A,2.09,0.56,0.97,21.23,2020
DOREENPWR,73.10,Fuel & Power,A,10.07,9.75,8.11,48.41,2021
DSHGARME,182.50,Textile,B,0.5,1.08,0.4,19.7,2021
DSSL,15.80,Textile,A,2.37,1.32,1.23,18.98,2020
DULAMIACOT,50.80,Textile,Z,-,-, n/a ,-37.42,2021
DUTCHBANGL,78.00,Bank,A,13.2,8.33,10.0,58.65,2020
EASTERNINS,92.30,Insurance,A,2.0,5.39,3.35,47.33,2020
EASTLAND,37.30,Insurance,A,1.82,1.32,1.12,21.32,2020
EASTRNLUB,2228.60,Fuel & Power,A,3.0,5.92,5.43,178.45,2020
EBL,38.10,Bank,A,8.42,5.61,5.15,36.28,2020
EBL1STMF,7.40,Mutual Funds,A,1.3,1.1,2.61,11.76,2021
EBLNRBMF,6.50,Mutual Funds,A,0.6,1.66,1.92,12.27,2021
ECABLES,152.10,Engineering,B,-,-, n/a ,10.42,2021
EGEN,47.40,IT Sector,A,1.0,1.56,1.61,23.96,2021
EHL,55.40,Services & Real Estate,A,1.5,5.28,3.98,70.33,2021
EIL,32.90,Insurance,B,0.7,1.63,1.34,19.0,2020
EMERALDOIL,34.90,Food & Allied,Z,3.49,0.12,3.33,17.23,2016
ENVOYTEX,45.00,Textile,A,0.5,2.72,0.56,37.79,2021
EPGL,41.00,Fuel & Power,N,1.0,2.02,2.02,57.72,2021
ESQUIRENIT,34.20,Textile,A,1.5,2.74,1.97,50.61,2020
ETL,10.30,Textile,B,0.2,-,0.0,13.09,2021
EXIM1STMF,6.10,Mutual Funds,A,0.75,0.76,2.0,12.0,2021
EXIMBANK,12.50,Bank,A,1.06,1.57,1.99,21.66,2020
FAMILYTEX,4.60,Textile,Z,-,-, n/a ,11.48,2020
FARCHEM,12.50,Pharmaceuticals & Chemicals,B,0.1,-, n/a ,13.71,2021
FAREASTFIN,6.00,Financial Institutions,Z,-,-, n/a ,2.85,2019
FAREASTLIF,93.10,Insurance,A,-,-,-,-,2020
FASFIN,6.30,Financial Institutions,B,-,-, n/a ,-13.40,2020
FBFIF,5.30,Mutual Funds,A,0.4,1.02,1.93,11.64,2021
FEDERALINS,33.40,Insurance,A,2.17,0.96,1.33,12.4,2020
FEKDIL,17.60,Textile,A,1.0,0.86,0.79,19.48,2021
FINEFOODS,52.00,Food & Allied,B,-,-, n/a ,10.61,2021
FIRSTFIN,6.10,Financial Institutions,Z,-,-, n/a ,4.23,2020
FIRSTSBANK,12.40,Bank,A,1.12,1.73,2.93,18.91,2020
FORTUNE,130.30,Tannery Industries,A,7.52,4.16,1.59,14.24,2021
FUWANGCER,17.10,Ceramics Sector,B,0.2,0.34,0.34,11.7,2021
FUWANGFOOD,21.10,Food & Allied,B,-,0.24,0.05,11.85,2021
GBBPOWER,33.90,Fuel & Power,A,1.15,1.2,1.5,20.93,2021
GEMINISEA,428.00,Food & Allied,B,0.5,10.24,0.72,0.93,2021
GENEXIL,145.30,IT Sector,A,15.53,5.48,3.22,18.22,2021
GENNEXT,6.70,Textile,Z,-,-,0.01,11.91,2021
GHAIL,18.20,Food & Allied,B,0.5,0.1, n/a ,14.19,2021
GHCL,33.80,Pharmaceuticals & Chemicals,B,0.5,-,0.34,54.65,2021
GLOBALINS,50.30,Insurance,A,1.0,2.32,1.53,12.75,2020
